Module_id,Completeness,AM.P1.D,AM.P1.R ,AM.P2.D,AM.P2.R,TIA.P1.D ,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D ,TI.P2.R ,TI.P3.D,TI.P3.R,TI.P4.D ,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R 
M00142,"NADH:ubiquinone oxidoreductase, mitochondria",1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00143,"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00144,"NADH:quinone oxidoreductase, prokaryotes",COMPLETE,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE
M00145,"NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria",1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00146,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00147,NADH dehydrogenase (ubiquinone) 1 beta subcomplex,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00148,Succinate dehydrogenase (ubiquinone),1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00149,"Succinate dehydrogenase, prokaryotes",COMPLETE,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00150,"Fumarate reductase, prokaryotes",COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00151,Cytochrome bc1 complex respiratory unit,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00152,Cytochrome bc1 complex,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00153,Cytochrome bd ubiquinol oxidase,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00154,Cytochrome c oxidase,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00155,"Cytochrome c oxidase, prokaryotes",COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING
M00156,"Cytochrome c oxidase, cbb3-type",1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00157,"F-type ATPase, prokaryotes and chloroplasts",COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00158,"F-type ATPase, eukaryotes",1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00159,"V/A-type ATPase, prokaryotes",1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00160,"V-type ATPase, eukaryotes",1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00161,Photosystem II,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00162,Cytochrome b6f complex,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00163,Photosystem I,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00165,Reductive pentose phosphate cycle (Calvin cycle),COMPLETE,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00166,"Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00167,"Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P",COMPLETE,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00168,"CAM (Crassulacean acid metabolism), dark",COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00169,"CAM (Crassulacean acid metabolism), light",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00170,"C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type",INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00171,"C4-dicarboxylic acid cycle, NAD - malic enzyme type",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00172,"C4-dicarboxylic acid cycle, NADP - malic enzyme type",1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00173,Reductive citrate cycle (Arnon-Buchanan cycle),1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00174,"Methane oxidation, methanotroph, methane => formaldehyde",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00175,"Nitrogen fixation, nitrogen => ammonia",1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00176,"Assimilatory sulfate reduction, sulfate => H2S",COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00307,"Pyruvate oxidation, pyruvate => acetyl-CoA",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00308,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00309,"Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00338,"Cysteine biosynthesis, homocysteine + serine => cysteine",COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00344,"Formaldehyde assimilation, xylulose monophosphate pathway",1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00345,"Formaldehyde assimilation, ribulose monophosphate pathway",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00346,"Formaldehyde assimilation, serine pathway",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00356,"Methanogenesis, methanol => methane",1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE
M00357,"Methanogenesis, acetate => methane",1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE
M00358,Coenzyme M biosynthesis,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00363,"EHEC pathogenicity signature, Shiga toxin",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00364,"C10-C20 isoprenoid biosynthesis, bacteria",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00365,"C10-C20 isoprenoid biosynthesis, archaea",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00366,"C10-C20 isoprenoid biosynthesis, plants",INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00367,"C10-C20 isoprenoid biosynthesis, non-plant eukaryotes",INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00368,"Ethylene biosynthesis, methionine => ethylene",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00369,"Cyanogenic glycoside biosynthesis, tyrosine => dhurrin",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00370,"Glucosinolate biosynthesis, tryptophan => glucobrassicin",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00371,"Castasterone biosynthesis, campesterol => castasterone",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00372,"Abscisic acid biosynthesis, beta-carotene => abscisic acid",INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00373,Ethylmalonyl pathway,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00374,Dicarboxylate-hydroxybutyrate cycle,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00375,Hydroxypropionate-hydroxybutylate cycle,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00376,3-Hydroxypropionate bi-cycle,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
M00378,F420 biosynthesis,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,COMPLETE,INCOMPLETE,INCOMPLETE,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE
